#idx, ts,vnf0(nfvi0),tpr,ncore,vnf1(nfvi0),tpr,ncore
28, 032747, 0, 100, 1, 0, 100, 1
29, 032748, 0, 100, 1, 0, 100, 1
30, 032749, 1008900, 100, 1, 5087200, 46, 2
31, 032750, 2980990, 100, 1, 14846000, 62, 4
32, 032752, 2982210, 100, 1, 14758300, 91, 4
33, 032753, 2960000, 100, 1, 14461900, 98, 4
34, 032754, 2959910, 99, 1, 14460800, 98, 4
35, 032755, 2989910, 100, 1, 14620400, 98, 4
36, 032756, 2959640, 100, 1, 14460000, 98, 4
37, 032757, 3101480, 100, 1, 14510700, 98, 4
38, 032758, 3255740, 99, 1, 14169100, 98, 4
39, 032759, 3400120, 100, 1, 14210800, 98, 4
40, 032800, 3552050, 99, 1, 13859200, 98, 4
41, 032801, 3697300, 100, 1, 13902100, 98, 4
42, 032802, 3845590, 100, 1, 13562200, 97, 4
43, 032804, 3995300, 100, 1, 13613800, 97, 4
44, 032805, 4143880, 99, 1, 13284700, 97, 4
45, 032806, 4403320, 100, 1, 12676400, 97, 4
46, 032807, 4891740, 100, 1, 12717400, 97, 4
47, 032808, 5031170, 99, 1, 12399900, 97, 4
48, 032809, 5297220, 100, 1, 12321700, 97, 4
49, 032810, 5623000, 100, 1, 11802900, 97, 4
50, 032811, 5785110, 100, 1, 11825100, 100, 4
51, 032812, 5914210, 100, 1, 11500400, 97, 4
52, 032813, 6187040, 99, 1, 11423100, 97, 4
53, 032814, 6506640, 99, 1, 10926000, 97, 4
54, 032815, 6780800, 96, 1, 10837600, 97, 4
55, 032817, 7101210, 91, 1, 10336600, 97, 4
56, 032818, 7379940, 88, 2, 10242900, 97, 4
57, 032819, 7882550, 100, 4, 9548590, 96, 2
58, 032820, 8374680, 95, 2, 9269000, 96, 2
59, 032821, 8551450, 99, 2, 9039270, 99, 2
60, 032822, 8850480, 99, 2, 8551740, 99, 2
61, 032823, 9139910, 99, 2, 8445230, 99, 2
62, 032824, 9549660, 99, 2, 8051450, 99, 2
