#idx, ts,vnf0(nfvi0),tpr,ncore,vnf1(nfvi0),tpr,ncore
0, 183327, 0, 100, 4, 0, 100, 4
1, 183328, 0, 100, 4, 0, 100, 4
2, 183329, 0, 100, 4, 0, 100, 4
3, 183330, 13437800, 58, 4, 1950510, 96, 4
4, 183331, 16319200, 58, 4, 2376260, 96, 4
5, 183332, 16273400, 58, 4, 2371970, 97, 4
6, 183333, 16281000, 58, 4, 2370090, 100, 4
7, 183334, 16455400, 58, 4, 2398340, 97, 4
8, 183335, 16281900, 58, 4, 2370790, 97, 4
9, 183336, 16280200, 55, 4, 2372340, 100, 4
10, 183337, 16455800, 50, 4, 2395070, 96, 4
11, 183338, 16278700, 54, 4, 2372020, 97, 4
12, 183339, 16276200, 58, 4, 2368260, 96, 4
13, 183340, 16449200, 58, 4, 2397300, 100, 4
14, 183341, 16326100, 58, 4, 2377080, 100, 4
15, 183342, 16278000, 58, 4, 2394690, 100, 4
16, 183343, 16277700, 58, 4, 2372220, 97, 4
17, 183345, 16274000, 58, 4, 2369470, 100, 4
18, 183346, 16400100, 58, 4, 2389500, 100, 4
19, 183347, 16277000, 58, 4, 2369570, 96, 4
20, 183348, 16458000, 58, 4, 2398500, 97, 4
21, 183349, 16224800, 58, 4, 2362100, 97, 4
22, 183350, 16459500, 58, 4, 2398710, 100, 4
23, 183351, 16325300, 58, 4, 2376900, 100, 4
24, 183352, 16365700, 58, 4, 2385280, 97, 4
25, 183353, 16279100, 58, 4, 2370150, 97, 4
26, 183354, 16274000, 58, 4, 2371800, 97, 4
27, 183355, 16461400, 87, 4, 2396450, 100, 4
28, 183356, 16280900, 58, 4, 2372080, 100, 4
29, 183357, 16274500, 58, 4, 2368860, 96, 4
30, 183358, 16462500, 58, 4, 2399180, 97, 4
31, 183359, 16274900, 58, 4, 2369590, 97, 4
32, 183400, 16326000, 54, 4, 2376380, 100, 4
33, 183401, 16276200, 58, 4, 2372180, 97, 4
34, 183403, 16276900, 58, 4, 2369850, 97, 4
35, 183404, 16459500, 58, 4, 2398700, 97, 4
36, 183405, 16276500, 58, 4, 2369600, 100, 4
37, 183406, 16270900, 58, 4, 2371200, 100, 4
38, 183407, 16456100, 58, 4, 2396030, 100, 4
39, 183408, 16278400, 58, 4, 2372220, 97, 4
40, 183409, 16276300, 58, 4, 2369600, 97, 4
41, 183410, 16461100, 58, 4, 2399100, 97, 4
42, 183411, 16327100, 58, 4, 2377150, 100, 4
43, 183412, 14933200, 64, 4, 3444240, 97, 4
44, 183413, 11961400, 83, 4, 5988630, 97, 4
45, 183414, 11825400, 83, 4, 5926110, 97, 4
46, 183415, 9006660, 94, 4, 7811360, 99, 4
47, 183416, 8387260, 98, 4, 8389580, 99, 4
