#idx, ts,vnf0(nfvi0),tpr,ncore,vnf1(nfvi0),tpr,ncore
0, 223819, 0, 100, 8, 0, 100, 4
1, 223820, 0, 100, 8, 0, 100, 4
2, 223821, 0, 100, 8, 0, 100, 4
3, 223822, 0, 100, 8, 0, 100, 4
4, 223823, 0, 100, 8, 0, 100, 4
5, 223824, 0, 100, 8, 0, 100, 4
6, 223825, 0, 100, 8, 0, 100, 4
7, 223827, 14908800, 96, 8, 2993640, 100, 4
8, 223828, 14653100, 96, 8, 2962760, 96, 4
9, 223829, 14640400, 96, 8, 2993790, 96, 4
10, 223830, 14477200, 96, 8, 2962930, 96, 4
11, 223831, 14473700, 96, 8, 2959600, 100, 4
12, 223832, 14639400, 96, 8, 2996280, 100, 4
13, 223833, 14477600, 96, 8, 2960500, 96, 4
14, 223834, 14635600, 96, 8, 2995390, 100, 4
15, 223835, 14470800, 96, 8, 2959030, 100, 4
16, 223836, 14236700, 96, 8, 3207160, 96, 4
17, 223837, 14337300, 96, 8, 3292400, 100, 4
18, 223838, 14085600, 96, 8, 3354160, 96, 4
19, 223839, 14030700, 95, 8, 3592200, 100, 4
20, 223840, 13867700, 100, 8, 3553940, 96, 4
21, 223841, 13635500, 95, 8, 3791240, 96, 4
22, 223842, 13733300, 95, 8, 3892220, 96, 4
23, 223844, 13294600, 95, 8, 4147840, 96, 4
24, 223845, 13291900, 94, 8, 4142040, 96, 4
25, 223846, 12947800, 94, 8, 4678710, 95, 4
26, 223847, 12688200, 100, 8, 4736090, 95, 4
27, 223848, 12745900, 94, 8, 4887120, 95, 4
28, 223849, 12422500, 93, 8, 5033620, 95, 4
29, 223850, 12422400, 93, 8, 5038810, 95, 4
30, 223851, 12067500, 93, 8, 5568650, 96, 4
31, 223852, 11814800, 93, 8, 5630290, 96, 4
32, 223853, 11852000, 93, 8, 5776890, 96, 4
33, 223854, 11507600, 100, 8, 5920350, 96, 4
34, 223855, 11503500, 92, 8, 5912170, 96, 4
35, 223856, 11165800, 100, 8, 6462810, 97, 4
36, 223857, 10921700, 92, 8, 6506080, 97, 4
37, 223858, 10873600, 91, 8, 6764260, 97, 4
38, 223859, 10348200, 90, 8, 7102510, 98, 4
39, 223901, 9996810, 89, 8, 7646610, 98, 4
40, 223902, 9764680, 89, 8, 7694810, 98, 4
41, 223903, 9699710, 89, 8, 7942290, 97, 4
42, 223904, 9175040, 100, 8, 8291750, 93, 4
43, 223905, 9170890, 100, 8, 8274050, 93, 4
44, 223906, 8807160, 100, 8, 8850510, 88, 4
45, 223907, 8579640, 89, 8, 8871460, 87, 4
46, 223908, 8507690, 89, 8, 9151330, 85, 4
47, 223909, 7995130, 100, 8, 9463970, 81, 4
48, 223910, 7996320, 100, 8, 9475900, 81, 4
49, 223911, 7613060, 86, 8, 10032800, 78, 4
50, 223912, 7392750, 100, 8, 10056500, 77, 4
51, 223913, 7311360, 84, 8, 10322100, 75, 4
52, 223914, 6808210, 100, 8, 10644400, 72, 4
53, 223915, 6804100, 100, 8, 10626100, 72, 4
54, 223916, 6430860, 81, 8, 11231800, 69, 4
55, 223918, 6130540, 82, 8, 11531600, 68, 4
56, 223919, 5630730, 81, 8, 11815200, 65, 4
57, 223920, 5630430, 81, 8, 11829900, 65, 4
58, 223921, 5463170, 100, 8, 12171600, 64, 4
59, 223922, 5333760, 81, 8, 12124700, 63, 4
60, 223923, 5234150, 83, 8, 12399700, 63, 4
61, 223924, 4737970, 87, 8, 12703000, 61, 4
62, 223925, 4789480, 87, 8, 12825400, 61, 4
63, 223926, 4509700, 100, 8, 12943800, 60, 4
64, 223927, 4437760, 100, 8, 12996200, 59, 4
65, 223928, 4335380, 88, 8, 13314600, 58, 4
66, 223929, 3850810, 88, 8, 13583500, 57, 4
67, 223930, 3893040, 100, 8, 13749900, 57, 4
68, 223931, 3626610, 87, 8, 13806500, 56, 4
69, 223932, 3554640, 88, 8, 13897000, 55, 4
70, 223933, 3518850, 86, 8, 14109500, 55, 4
71, 223934, 3259510, 85, 8, 14342900, 54, 4
72, 223936, 3258920, 100, 8, 14204700, 54, 4
73, 223937, 3296150, 83, 8, 14348800, 54, 4
74, 223938, 3186690, 100, 8, 14280900, 54, 4
75, 223939, 2961790, 100, 8, 14476900, 53, 4
76, 223940, 2995460, 100, 8, 14660700, 53, 4
77, 223941, 2962300, 100, 8, 14479100, 53, 4
78, 223942, 2994650, 100, 8, 14657900, 53, 4
79, 223943, 2962600, 88, 8, 14480400, 53, 4
80, 223944, 2962430, 100, 8, 14499900, 53, 4
81, 223945, 2994180, 87, 8, 14634700, 53, 4
82, 223946, 2962620, 100, 8, 14500600, 53, 4
83, 223947, 2995840, 100, 8, 14643900, 53, 4
84, 223948, 2961530, 100, 8, 14494900, 53, 4
85, 223949, 2995580, 100, 8, 14642900, 53, 4
86, 223950, 2962700, 89, 8, 14501100, 53, 4
87, 223951, 2961240, 100, 8, 14662600, 53, 4
88, 223953, 3029540, 100, 8, 14416000, 53, 4
89, 223954, 3283980, 85, 8, 14314200, 54, 4
