#idx, ts,vnf0(nfvi0),tpr,ncore,vnf1(nfvi0),tpr,ncore
0, 182535, 0, 100, 1, 0, 100, 1
1, 182537, 0, 100, 1, 0, 100, 1
2, 182538, 14776200, 20, 1, 2141610, 100, 1
3, 182539, 16324500, 32, 4, 2373690, 100, 1
4, 182540, 16352100, 32, 8, 2383360, 99, 1
5, 182541, 16435500, 100, 8, 2392900, 99, 1
6, 182542, 16171200, 96, 8, 2357500, 100, 1
7, 182543, 16501300, 98, 8, 2403250, 100, 1
8, 182544, 16311100, 98, 8, 2377720, 100, 1
9, 182545, 16294900, 98, 8, 2373400, 100, 1
10, 182546, 16310300, 98, 8, 2377610, 100, 1
11, 182547, 16312900, 98, 8, 2375930, 99, 1
12, 182548, 16293300, 98, 8, 2375290, 100, 1
13, 182549, 16354100, 100, 8, 2382000, 100, 1
14, 182550, 16351900, 98, 8, 2383940, 100, 1
15, 182551, 16410500, 98, 8, 2384080, 99, 1
16, 182552, 16168100, 98, 8, 2354780, 100, 1
17, 182554, 16355200, 98, 8, 2384280, 99, 1
18, 182555, 16355100, 98, 8, 2382040, 100, 1
19, 182556, 16348400, 98, 8, 2383300, 100, 1
20, 182557, 16356100, 98, 8, 2382140, 100, 1
21, 182558, 16353100, 98, 8, 2384000, 99, 1
22, 182559, 16344800, 98, 8, 2380540, 99, 1
23, 182600, 16356700, 98, 8, 2384640, 99, 1
24, 182601, 16263300, 98, 8, 2368570, 99, 1
25, 182602, 16350800, 98, 8, 2383490, 100, 1
26, 182603, 16350700, 98, 8, 2381500, 99, 1
27, 182604, 16351800, 98, 8, 2383870, 99, 1
28, 182605, 16346300, 98, 8, 2380710, 100, 1
29, 182606, 16356200, 98, 8, 2384300, 100, 1
30, 182607, 16316600, 98, 8, 2376420, 95, 1
31, 182608, 16347900, 98, 8, 2383210, 99, 1
32, 182609, 16312100, 98, 8, 2380020, 100, 1
33, 182610, 16259300, 98, 8, 2368000, 99, 1
34, 182612, 16354600, 98, 8, 2384250, 99, 1
35, 182613, 16350100, 98, 8, 2381220, 99, 1
36, 182614, 16299500, 98, 8, 2376330, 100, 1
37, 182615, 16313100, 98, 8, 2375740, 100, 1
38, 182616, 16350900, 98, 8, 2383550, 99, 1
39, 182617, 16339600, 98, 8, 2379580, 100, 1
40, 182618, 16350800, 98, 8, 2383600, 99, 1
41, 182619, 16350400, 98, 8, 2381120, 99, 1
42, 182620, 14573900, 97, 8, 3744990, 66, 2
43, 182621, 11940600, 94, 8, 5985840, 59, 8
44, 182622, 11818200, 94, 8, 5925850, 89, 8
45, 182623, 8755600, 91, 4, 8058500, 88, 8
46, 182624, 8303120, 92, 4, 8306490, 88, 8
47, 182625, 7468650, 98, 4, 9741090, 89, 8
48, 182626, 5930560, 96, 2, 11779300, 92, 8
49, 182627, 2860700, 99, 2, 15899100, 97, 8
50, 182628, 2370820, 98, 1, 16242600, 97, 8
51, 182630, 2378090, 99, 1, 16317100, 97, 8
52, 182631, 2394010, 100, 1, 16404200, 97, 8
53, 182632, 2367870, 99, 1, 16247500, 97, 8
54, 182633, 2376830, 100, 1, 16286900, 97, 8
55, 182634, 2402940, 99, 1, 16487700, 97, 8
56, 182635, 2377220, 100, 1, 16289700, 100, 8
57, 182636, 2376960, 99, 1, 16309700, 97, 8
58, 182637, 2376190, 99, 1, 16282600, 97, 8
59, 182638, 2377090, 100, 1, 16312000, 97, 8
60, 182639, 2377090, 99, 1, 16288100, 97, 8
61, 182640, 2402820, 100, 1, 16487600, 97, 8
62, 182641, 2368640, 100, 1, 16231100, 97, 8
63, 182642, 2376960, 100, 1, 16310000, 100, 8
64, 182643, 2376320, 100, 1, 16283000, 97, 8
65, 182644, 2403330, 100, 1, 16491500, 97, 8
66, 182645, 2376880, 99, 1, 16302300, 97, 8
67, 182646, 2377080, 99, 1, 16286600, 97, 8
68, 182648, 2376960, 100, 1, 16310300, 97, 8
69, 182649, 2376390, 100, 1, 16283900, 97, 8
70, 182650, 2377150, 100, 1, 16312100, 97, 8
71, 182651, 2401280, 99, 1, 16454500, 97, 8
72, 182652, 2375740, 100, 1, 16301400, 97, 8
73, 182653, 2377280, 99, 1, 16290300, 97, 8
74, 182654, 2377480, 100, 1, 16313900, 97, 8
75, 182655, 2376600, 99, 1, 16285300, 97, 8
76, 182656, 2377570, 100, 1, 16315000, 97, 8
77, 182657, 2403710, 99, 1, 16471200, 97, 8
78, 182658, 2376430, 99, 1, 16306100, 97, 8
79, 182659, 2377430, 100, 1, 16290400, 97, 8
80, 182700, 2377020, 100, 1, 16311300, 97, 8
81, 182701, 2371330, 99, 1, 16248100, 97, 8
82, 182702, 2377480, 100, 1, 16291200, 97, 8
83, 182703, 2375680, 100, 1, 16301800, 97, 8
84, 182705, 2377120, 99, 1, 16289600, 97, 8
85, 182706, 2376740, 99, 1, 16307600, 97, 8
86, 182707, 2401730, 100, 1, 16457700, 97, 8
87, 182708, 2377100, 99, 1, 16310600, 97, 8
88, 182709, 2376930, 99, 1, 16287000, 97, 8
89, 182710, 3535800, 75, 2, 14847000, 100, 8
90, 182711, 5982750, 80, 8, 11915600, 94, 8
91, 182712, 5937280, 86, 8, 11844700, 100, 8
92, 182713, 7894110, 100, 8, 8913980, 92, 4
93, 182714, 8307240, 89, 8, 8309750, 94, 4
94, 182715, 9536890, 94, 4, 7610950, 98, 4
95, 182716, 11818200, 87, 8, 5926600, 97, 2
96, 182717, 11828900, 100, 8, 5914380, 88, 4
97, 182718, 15553900, 100, 8, 3058800, 92, 4
98, 182719, 16463400, 98, 8, 2399990, 96, 4
99, 182720, 16220900, 98, 8, 2362430, 100, 1
100, 182722, 16359400, 98, 8, 2384870, 100, 1
101, 182723, 16354700, 98, 8, 2381970, 100, 1
102, 182724, 16355000, 98, 8, 2384380, 99, 1
103, 182725, 16356300, 98, 8, 2382410, 100, 1
104, 182726, 16357400, 98, 8, 2384640, 100, 1
105, 182727, 16347700, 98, 8, 2380990, 100, 1
106, 182728, 16172700, 98, 8, 2358080, 99, 1
107, 182729, 16353000, 98, 8, 2381700, 99, 1
108, 182730, 16351300, 98, 8, 2383930, 100, 1
109, 182731, 16368600, 98, 8, 2384000, 100, 1
110, 182732, 16354000, 98, 8, 2384240, 99, 1
111, 182733, 16347700, 98, 8, 2381080, 99, 1
112, 182734, 16353100, 98, 8, 2384160, 99, 1
113, 182735, 16348200, 98, 8, 2381240, 99, 1
114, 182736, 16166500, 98, 8, 2356740, 100, 1
115, 182737, 16352400, 98, 8, 2384120, 99, 1
116, 182738, 16353800, 98, 8, 2381820, 100, 1
117, 182740, 16310500, 98, 8, 2377910, 99, 1
118, 182741, 16436500, 98, 8, 2393840, 99, 1
119, 182742, 16346600, 98, 8, 2383100, 100, 1
120, 182743, 16344300, 98, 8, 2380640, 100, 1
121, 182744, 16306600, 98, 8, 2377440, 99, 1
122, 182745, 16342600, 98, 8, 2380440, 100, 1
123, 182746, 16352400, 98, 8, 2384090, 100, 1
124, 182747, 16347400, 98, 8, 2380790, 100, 1
125, 182748, 16161700, 98, 8, 2356200, 99, 1
126, 182749, 16352300, 98, 8, 2381760, 99, 1
127, 182750, 16348900, 98, 8, 2383600, 100, 1
128, 182751, 16329100, 98, 8, 2378280, 99, 1
129, 182752, 16351000, 98, 8, 2383870, 99, 1
130, 182753, 16346600, 98, 8, 2380860, 100, 1
131, 182754, 16336400, 98, 8, 2380990, 100, 1
132, 182755, 16346200, 98, 8, 2383100, 99, 1
133, 182757, 16297300, 98, 8, 2373760, 100, 1
134, 182758, 16310000, 98, 8, 2377770, 100, 1
135, 182759, 16308200, 98, 8, 2375360, 99, 1
136, 182800, 15178400, 97, 8, 3317770, 77, 1
137, 182801, 11939900, 94, 8, 5980720, 69, 4
138, 182802, 11783300, 94, 8, 5913910, 88, 8
139, 182803, 9222990, 91, 8, 7789050, 87, 8
140, 182804, 8303390, 92, 4, 8306230, 88, 8
141, 182805, 7755970, 98, 4, 9308370, 100, 4
142, 182806, 5938330, 96, 2, 11848500, 81, 8
143, 182807, 5923700, 94, 2, 11816900, 85, 8
