#idx, ts,vnf0(nfvi0),tpr,ncore,vnf1(nfvi0),tpr,ncore
0, 223118, 0, 100, 1, 0, 100, 1
1, 223119, 0, 100, 1, 0, 100, 1
2, 223121, 0, 100, 1, 0, 100, 1
3, 223122, 0, 100, 1, 0, 100, 1
4, 223123, 0, 100, 1, 0, 100, 1
5, 223124, 1884110, 23, 1, 368157, 100, 1
6, 223125, 14869200, 25, 2, 2977080, 100, 1
7, 223126, 14856000, 54, 8, 2976100, 95, 1
8, 223127, 14685600, 92, 8, 2982790, 75, 2
9, 223128, 14471900, 96, 8, 2966690, 91, 4
10, 223129, 14476700, 96, 8, 2960300, 96, 1
11, 223130, 14631900, 96, 8, 2989650, 81, 2
12, 223131, 14471600, 96, 8, 2963930, 83, 4
13, 223132, 14635100, 96, 8, 2995230, 95, 4
14, 223133, 14475600, 96, 8, 2959640, 94, 1
15, 223134, 14588900, 96, 8, 3037940, 86, 2
16, 223135, 14175000, 100, 8, 3259180, 88, 4
17, 223136, 14168500, 96, 8, 3487560, 96, 2
18, 223138, 13874000, 95, 8, 3555300, 99, 2
19, 223139, 13979900, 95, 8, 3635410, 99, 2
20, 223140, 13578900, 95, 8, 3848820, 99, 2
21, 223141, 13730500, 100, 8, 3888510, 99, 2
22, 223142, 13388300, 95, 8, 4041140, 99, 2
23, 223143, 13292000, 100, 8, 4142490, 99, 2
24, 223144, 13353400, 100, 8, 4273620, 98, 2
25, 223145, 12685000, 94, 8, 4732630, 90, 2
26, 223146, 12831500, 94, 8, 4791990, 90, 2
27, 223147, 12515000, 94, 8, 4923180, 87, 4
28, 223148, 12513900, 93, 8, 5079030, 87, 4
29, 223149, 12340200, 93, 8, 5111890, 93, 4
30, 223150, 11942800, 93, 8, 5692590, 96, 4
31, 223151, 11770700, 100, 8, 5604900, 96, 4
32, 223152, 11751000, 93, 8, 5877600, 96, 4
33, 223153, 11510600, 92, 8, 6066270, 96, 4
34, 223155, 10920200, 92, 8, 6503840, 97, 4
35, 223156, 10922500, 92, 8, 6511840, 97, 4
36, 223157, 10683300, 100, 8, 6954260, 98, 4
37, 223158, 10350200, 100, 8, 7108990, 98, 4
38, 223159, 10388900, 90, 8, 7254750, 98, 4
39, 223200, 9763150, 89, 8, 7692980, 98, 4
40, 223201, 9763710, 88, 8, 7684620, 98, 4
41, 223202, 9505470, 86, 8, 8148110, 95, 4
42, 223203, 9175120, 87, 8, 8281380, 93, 4
43, 223204, 9206190, 86, 8, 8455740, 92, 4
44, 223205, 8575520, 88, 8, 8866540, 87, 4
45, 223206, 8579240, 87, 8, 8880250, 86, 4
46, 223207, 8314400, 86, 8, 9336700, 82, 4
47, 223208, 7995290, 100, 4, 9473160, 80, 4
48, 223209, 8014630, 90, 4, 9635910, 82, 8
49, 223210, 7392410, 98, 4, 10157800, 89, 8
50, 223212, 7038660, 98, 4, 10412600, 88, 8
51, 223213, 6811730, 97, 4, 10623900, 90, 8
52, 223214, 6822640, 97, 4, 10818300, 91, 8
53, 223215, 6215740, 97, 4, 11213400, 92, 8
54, 223216, 6287790, 100, 4, 11356700, 92, 8
55, 223217, 5861470, 96, 4, 11570200, 93, 8
56, 223218, 5629250, 96, 4, 11818700, 93, 8
57, 223219, 5662530, 95, 4, 11965200, 93, 8
58, 223220, 5332540, 100, 4, 12110000, 93, 8
59, 223221, 5392160, 100, 4, 12231900, 93, 8
60, 223222, 4978530, 95, 4, 12457700, 94, 8
61, 223223, 4735080, 100, 2, 12673000, 94, 8
62, 223224, 4764170, 91, 2, 12860500, 100, 8
63, 223225, 4440190, 96, 2, 12978700, 94, 8
64, 223226, 4490490, 96, 2, 13142800, 94, 8
65, 223227, 4096720, 98, 2, 13731100, 95, 8
66, 223229, 3823610, 99, 2, 13586400, 95, 8
67, 223230, 3594310, 99, 2, 14031100, 100, 8
68, 223231, 3554420, 99, 2, 13859000, 95, 8
69, 223232, 3381450, 99, 2, 14051700, 96, 8
70, 223233, 3289380, 87, 1, 14322900, 96, 8
71, 223234, 3262940, 86, 4, 14185100, 96, 8
72, 223235, 3294080, 93, 4, 14321900, 100, 8
73, 223236, 3258820, 95, 1, 14186500, 96, 8
74, 223237, 3116720, 100, 1, 14496600, 96, 8
75, 223238, 2961430, 86, 1, 14474700, 95, 8
76, 223239, 2966080, 87, 4, 14456100, 96, 8
77, 223240, 2994690, 95, 4, 14638100, 96, 8
78, 223241, 2961740, 93, 1, 14458300, 96, 8
79, 223242, 2989520, 89, 2, 14637600, 96, 8
80, 223243, 2966310, 89, 4, 14458300, 96, 8
81, 223244, 2994420, 100, 2, 14454700, 96, 8
82, 223246, 2956730, 87, 1, 14477000, 100, 8
83, 223247, 2999370, 87, 2, 14620000, 96, 8
84, 223248, 2961150, 95, 4, 14474300, 96, 8
85, 223249, 2995710, 93, 2, 14624000, 96, 8
86, 223250, 2956450, 93, 1, 14475100, 96, 8
87, 223251, 2994870, 80, 2, 14619000, 100, 8
88, 223252, 3132140, 90, 4, 14312600, 96, 8
89, 223253, 3294400, 94, 2, 14322400, 96, 8
90, 223254, 3270320, 95, 1, 14170600, 100, 8
91, 223255, 3553970, 71, 2, 13855600, 95, 8
92, 223256, 3603050, 89, 4, 14046600, 95, 8
93, 223257, 3717350, 94, 2, 13697800, 95, 8
94, 223258, 3891850, 96, 2, 13733100, 95, 8
95, 223259, 3847510, 99, 2, 13496600, 95, 8
96, 223300, 4193250, 99, 2, 13446300, 95, 8
97, 223301, 4146770, 99, 2, 13280300, 95, 8
98, 223303, 4441660, 96, 2, 12983500, 94, 8
99, 223304, 4452690, 96, 2, 12989300, 94, 8
100, 223305, 4790070, 90, 2, 12811300, 94, 8
101, 223306, 4738830, 90, 2, 12689500, 94, 8
102, 223307, 5114090, 84, 2, 12499400, 94, 8
103, 223308, 5335340, 87, 4, 12108900, 93, 8
104, 223309, 5416970, 94, 4, 12210700, 93, 8
105, 223310, 5919880, 95, 4, 11518500, 93, 8
106, 223311, 5919720, 100, 4, 11502300, 93, 8
107, 223312, 6145700, 96, 4, 11491400, 92, 8
108, 223313, 6217400, 97, 4, 11217800, 92, 8
109, 223314, 6307330, 97, 4, 11337200, 92, 8
110, 223315, 6808430, 97, 4, 10620200, 91, 8
111, 223316, 6810990, 97, 4, 10636700, 91, 8
112, 223317, 7197310, 98, 4, 10437000, 100, 8
113, 223318, 7394830, 98, 4, 10055900, 90, 8
114, 223320, 7987510, 97, 4, 9476380, 89, 8
115, 223321, 7989250, 97, 4, 9466930, 88, 8
116, 223322, 8387770, 94, 4, 9269140, 88, 8
117, 223323, 8581310, 91, 4, 8870490, 86, 8
118, 223324, 8689830, 90, 4, 8966150, 88, 8
119, 223325, 9169560, 85, 4, 8280950, 86, 8
120, 223326, 9173990, 83, 4, 8292800, 88, 8
121, 223327, 9583040, 81, 4, 8067510, 100, 4
122, 223328, 9769240, 77, 8, 7693030, 100, 4
123, 223329, 9882780, 100, 4, 7763510, 98, 4
124, 223330, 10346000, 78, 8, 7108450, 98, 4
125, 223331, 10349500, 100, 8, 7096810, 98, 4
126, 223332, 10761000, 91, 8, 6883740, 97, 4
127, 223333, 10924100, 100, 8, 6506630, 97, 4
128, 223334, 11049700, 92, 8, 6578960, 97, 4
129, 223335, 11504700, 100, 8, 5912300, 96, 4
130, 223337, 11811200, 100, 8, 5617880, 96, 4
131, 223338, 12109900, 93, 8, 5334300, 95, 4
132, 223339, 12244400, 93, 8, 5386420, 95, 4
133, 223340, 12420700, 93, 8, 5037560, 94, 4
134, 223341, 12562400, 93, 8, 5084250, 87, 2
135, 223342, 12708700, 94, 8, 4744900, 88, 4
136, 223343, 12997700, 94, 8, 4437730, 93, 2
137, 223344, 13145400, 94, 8, 4488220, 100, 2
138, 223345, 13285600, 95, 8, 4146910, 99, 2
139, 223346, 13438600, 95, 8, 4192350, 99, 2
140, 223347, 13433500, 95, 8, 3996790, 99, 2
141, 223348, 13579300, 95, 8, 3849200, 99, 2
142, 223349, 13727700, 95, 8, 3887420, 99, 2
143, 223350, 13867000, 95, 8, 3559100, 99, 2
