#####    flow0   NT1     NT2     NT4
00001    00100   00032   00072   00096
00002    00099   00032   00064   00096
00003    00099   00031   00068   00096
00004    00098   00032   00063   00096
00005    00096   00033   00064   00097
00006    00095   00034   00061   00096
00007    00093   00031   00067   00096
00008    00090   00031   00068   00097
00009    00087   00033   00069   00097
00010    00084   00031   00062   00097
00011    00081   00031   00066   00096
00012    00078   00034   00063   00096
00013    00074   00032   00064   00096
00014    00070   00031   00059   00097
00015    00066   00032   00062   00096
00016    00062   00030   00058   00097
00017    00058   00028   00061   00096
00018    00054   00033   00062   00099
00019    00050   00034   00063   00100
00020    00047   00037   00067   00099
00021    00043   00043   00078   00100
00022    00039   00046   00080   00100
00023    00036   00048   00090   00100
00024    00033   00053   00094   00100
00025    00030   00058   00096   00100
00026    00027   00063   00100   00100
00027    00025   00072   00100   00100
00028    00023   00077   00100   00100
00029    00022   00085   00100   00100
00030    00021   00085   00100   00100
00031    00020   00089   00100   00100
00032    00020   00092   00100   00100
00033    00020   00087   00100   00100
00034    00020   00090   00100   00100
00035    00021   00089   00099   00100
00036    00022   00085   00100   00099
00037    00024   00078   00099   00100
00038    00026   00074   00100   00100
00039    00028   00065   00100   00100
00040    00030   00064   00100   00100
00041    00033   00061   00100   00100
00042    00037   00049   00096   00099
00043    00040   00047   00086   00100
00044    00043   00043   00081   00099
00045    00047   00040   00077   00099
00046    00051   00036   00065   00099
00047    00055   00035   00060   00099
00048    00059   00034   00058   00096
00049    00063   00035   00056   00096
00050    00067   00035   00054   00096
00051    00071   00034   00054   00096
00052    00075   00034   00054   00096
00053    00078   00034   00057   00096
00054    00082   00032   00060   00096
00055    00085   00034   00061   00096
00056    00088   00034   00057   00096
00057    00091   00033   00061   00096
00058    00093   00033   00060   00096
00059    00095   00032   00055   00096
00060    00097   00034   00056   00097
00061    00098   00034   00059   00096
00062    00099   00034   00060   00096
00063    00099   00033   00060   00097
