#####    flow0  flow1  rxtr   txtr   tpr  
1        100    20     4384   6017   72   
2        99     20     17602  23724  74   
3        99     20     17434  23357  74   
4        98     21     17585  23605  74   
5        96     23     17826  23638  75   
6        95     24     18276  23668  77   
7        93     26     18428  23626  77   
8        90     29     18857  23641  79   
9        87     32     19263  23441  82   
10       84     35     20091  23668  84   
11       81     38     20690  23693  87   
12       78     41     21084  23691  88   
13       74     45     21816  23689  92   
14       70     49     13897  19788  70   
15       66     53     13499  18712  72   
16       62     57     12810  18168  70   
17       58     61     12152  17951  67   
18       54     65     15617  19689  79   
19       50     69     23681  23710  99   
20       47     72     23457  23723  98   
21       43     76     11725  18646  62   
22       39     80     8296   15942  52   
23       36     83     7640   15716  48   
24       33     86     7044   15415  45   
25       30     89     8911   17073  52   
26       27     92     17314  23717  73   
27       25     94     16616  23558  70   
28       23     96     16252  23220  69   
29       22     97     15727  22627  69   
30       21     98     15645  22652  69   
31       20     99     15458  22436  68   
32       20     99     15369  22327  68   
33       20     99     15334  22297  68   
34       20     99     15282  22305  68   
35       21     98     15174  22104  68   
36       22     97     15556  22550  68   
37       24     95     15807  22781  69   
38       26     93     16261  23226  70   
39       28     91     16641  23547  70   
40       30     89     17115  23708  72   
41       33     86     17785  23700  75   
42       37     83     18599  23510  79   
43       40     79     19910  23834  83   
44       43     76     21074  23719  88   
45       47     72     22182  23724  93   
46       51     68     23203  23731  97   
47       55     64     23704  23704  100  
48       59     60     23514  23514  100  
49       63     56     23705  23706  99   
50       67     52     23724  23724  100  
51       71     48     23602  23710  99   
52       75     44     23037  23721  97   
53       78     41     22244  23692  93   
54       82     37     18507  22483  82   
55       85     34     13601  20035  67   
56       88     31     13589  20362  66   
57       91     29     13607  20633  65   
58       93     26     13576  20960  64   
59       95     24     17385  22959  75   
60       97     22     18294  23638  77   
61       98     21     16830  23406  71   
62       99     20     13548  23623  57   
63       99     20     15443  23595  65   
64       100    20     17573  23630  74   
65       99     20     16859  23738  71   
66       99     20     14577  22318  65   
67       98     21     13571  21579  62   
68       96     23     13348  21283  62   
69       95     24     13505  21349  63   
70       93     26     13502  21194  63   
71       90     29     18847  23630  79   
72       87     32     19480  23683  82   
73       84     35     20064  23659  84   
74       81     38     20481  23467  87   
75       78     41     21300  23681  89   
76       74     45     21957  23700  92   
77       70     49     22651  23689  95   
78       66     53     23439  23697  98   
79       62     57     22991  23712  96   
80       58     61     23489  23491  99   
81       54     65     23716  23717  99   
82       50     69     23714  23729  99   
83       47     72     23525  23703  99   
84       43     76     22845  23738  96   
85       39     80     21653  23728  91   
86       36     83     20179  23741  84   
87       33     86     19039  23445  81   
88       30     89     18353  23709  77   
89       27     92     17389  23703  73   
90       25     94     16597  23645  70   
91       23     96     16204  23232  69   
92       22     97     15892  22909  69   
93       21     98     15510  22454  69   
94       20     99     15434  22482  68   
95       20     99     15274  22294  68   
96       20     99     15301  22314  68   
