#idx , rat, prf, rsc
00000, 000, 100, 050
00001, 000, 100, 050
00002, 000, 100, 050
00003, 000, 100, 050
00004, 046, 097, 050
00005, 084, 098, 050
00006, 083, 097, 050
00007, 082, 097, 050
00008, 082, 100, 050
00009, 083, 097, 050
00010, 082, 097, 050
00011, 082, 097, 050
00012, 081, 097, 050
00013, 081, 097, 050
00014, 081, 097, 050
00015, 079, 097, 050
00016, 078, 097, 050
00017, 077, 097, 050
00018, 076, 097, 050
00019, 076, 097, 050
00020, 075, 097, 050
00021, 072, 097, 050
00022, 071, 097, 050
00023, 071, 097, 050
00024, 069, 097, 050
00025, 068, 097, 050
00026, 066, 096, 050
00027, 065, 096, 050
00028, 064, 096, 050
00029, 062, 096, 050
00030, 061, 096, 050
00031, 059, 096, 050
00032, 057, 096, 050
00033, 055, 096, 050
00034, 054, 096, 050
00035, 053, 096, 050
00036, 050, 096, 050
00037, 049, 100, 050
00038, 047, 095, 050
00039, 045, 095, 050
00040, 044, 094, 050
00041, 042, 094, 050
00042, 040, 094, 050
00043, 039, 094, 050
00044, 037, 093, 050
00045, 036, 094, 050
00046, 033, 100, 050
00047, 032, 100, 050
00048, 031, 094, 050
00049, 030, 094, 050
00050, 029, 094, 050
00051, 027, 096, 050
00052, 026, 096, 050
00053, 025, 100, 050
00054, 023, 100, 050
00055, 022, 095, 050
00056, 021, 094, 050
00057, 020, 092, 050
00058, 019, 093, 050
00059, 018, 093, 050
00060, 018, 100, 050
00061, 018, 092, 050
00062, 017, 092, 050
00063, 017, 100, 050
00064, 016, 093, 050
00065, 016, 100, 050
00066, 016, 093, 050
00067, 017, 093, 050
00068, 016, 093, 050
00069, 016, 093, 050
00070, 016, 093, 050
00071, 017, 100, 050
00072, 016, 093, 050
00073, 016, 093, 050
00074, 017, 100, 050
00075, 018, 100, 050
00076, 019, 093, 050
00077, 020, 093, 050
00078, 021, 094, 050
00079, 022, 100, 050
00080, 023, 095, 050
00081, 023, 100, 050
00082, 024, 100, 050
00083, 025, 100, 050
00084, 026, 096, 050
00085, 027, 096, 050
00086, 028, 100, 050
00087, 030, 094, 050
00088, 032, 093, 050
00089, 033, 093, 050
00090, 034, 100, 050
00091, 035, 093, 050
00092, 037, 094, 050
00093, 038, 100, 050
00094, 041, 094, 050
00095, 042, 094, 050
00096, 043, 094, 050
00097, 045, 095, 050
00098, 047, 095, 050
00099, 049, 096, 050
00100, 050, 100, 050
00101, 052, 100, 050
00102, 054, 096, 050
00103, 055, 096, 050
00104, 058, 096, 050
00105, 059, 096, 050
00106, 062, 096, 050
00107, 064, 097, 050
00108, 066, 097, 050
00109, 067, 097, 050
00110, 069, 097, 050
00111, 070, 097, 050
00112, 071, 097, 050
00113, 073, 097, 050
00114, 074, 100, 050
00115, 075, 097, 050
00116, 076, 097, 050
00117, 076, 100, 050
00118, 078, 097, 050
00119, 078, 097, 050
00120, 079, 097, 050
00121, 080, 097, 050
00122, 081, 097, 050
00123, 081, 097, 050
00124, 083, 097, 050
00125, 082, 097, 050
00126, 082, 097, 050
00127, 082, 097, 050
00128, 082, 097, 050
00129, 047, 097, 050
00130, 000, 100, 050
00131, 000, 100, 050
00132, 000, 100, 050
