#      flow  1trd, 8trd
# idx, rate, perf, perf
    4,   51,  035,  091
    5,   83,  038,  091
    6,   82,  041,  091
    7,   83,  039,  091
    8,   82,  041,  100
    9,   79,  046,  091
   10,   78,  042,  091
   11,   77,  043,  100
   12,   73,  048,  091
   13,   72,  046,  100
   14,   69,  048,  100
   15,   66,  052,  089
   16,   64,  052,  100
   17,   60,  054,  088
   18,   57,  057,  089
   19,   53,  070,  089
   20,   50,  076,  100
   21,   47,  082,  100
   22,   43,  089,  100
   23,   40,  094,  100
   24,   37,  096,  083
   25,   33,  098,  084
   26,   31,  099,  085
   27,   28,  099,  087
   28,   26,  099,  100
   29,   23,  099,  100
   30,   21,  099,  100
   31,   19,  099,  100
   32,   18,  099,  100
   33,   17,  100,  100
   34,   17,  100,  100
   35,   16,  100,   82
   36,   17,  100,  100
   37,   17,  099,  100
   38,   17,  100,  083
   39,   18,  100,  082
   40,   19,  100,  082
   41,   21,  100,  100
   42,   23,  100,  086
   43,   24,  100,  088
   44,   26,  099,  100
   45,   29,  097,  085
   46,   32,  097,  085
   47,   34,  094,  083
   48,   37,  089,  100
   49,   41,  079,  100
   50,   44,  077,  084
   51,   47,  073,  086
   52,   51,  068,  100
   53,   54,  063,  100
   54,   58,  060,  089
   55,   61,  057,  088
   56,   64,  054,  089
   57,   68,  052,  089
   58,   70,  050,  090
   59,   73,  049,  091
   60,   74,  047,  091
   61,   77,  047,  100
   62,   79,  040,  091
   63,   80,  039,  091
   64,   82,  035,  091
   65,   83,  036,  091
   66,   82,  040,  100
   67,   38,  100,  091
