#time, rx_pkts, tpr, n_core
1516075241, 0002979830, 099, 001
1516075242, 0002979200, 100, 001
1516075243, 0002978720, 099, 001
1516075244, 0002946270, 100, 001
1516075245, 0002978940, 100, 001
1516075246, 0002978940, 100, 001
1516075247, 0002979220, 099, 001
1516075248, 0002979310, 099, 001
1516075249, 0002978560, 100, 001
1516075250, 0002979790, 099, 001
1516075252, 0002964380, 099, 001
1516075253, 0002979600, 100, 001
1516075254, 0002979460, 099, 001
1516075255, 0002979330, 100, 001
1516075256, 0002946050, 100, 001
1516075257, 0002979460, 100, 001
1516075259, 0002979200, 100, 001
1516075260, 0002979330, 100, 001
1516075261, 0002979410, 099, 001
1516075262, 0002979330, 100, 001
1516075263, 0002979240, 099, 001
1516075264, 0002979580, 100, 001
1516075265, 0002979370, 099, 001
1516075266, 0002946010, 100, 001
1516075267, 0002979520, 099, 001
1516075268, 0002979390, 100, 001
1516075269, 0002979080, 100, 001
1516075270, 0002979320, 099, 001
1516075271, 0002990340, 100, 001
1516075366, 0002958340, 100, 001
#time, rx_pkts, tpr, n_core
1516075367, 0002979330, 100, 001
1516075368, 0002979740, 099, 001
1516075369, 0002979390, 099, 001
1516075370, 0002978990, 100, 001
1516075371, 0002979450, 100, 001
1516075372, 0002979330, 100, 001
1516075373, 0002979070, 099, 001
1516075374, 0002946050, 100, 001
1516075375, 0002979200, 100, 001
1516075376, 0002978690, 099, 001
1516075377, 0002979050, 100, 001
1516075378, 0002979230, 100, 001
1516075379, 0002979390, 099, 001
1516075380, 0002978980, 100, 001
1516075381, 0002978730, 099, 001
1516075383, 0002979240, 100, 001
1516075384, 0002946190, 100, 001
