#idx, time, rx_pkts, tpr, n_core
0000000001, 181046, 0000000000, 100, 001
0000000002, 181047, 0000000000, 100, 001
0000000003, 181049, 0000000000, 100, 001
0000000004, 181050, 0000000000, 100, 001
0000000005, 181051, 0000000000, 100, 001
0000000006, 181052, 0000000000, 100, 001
0000000007, 181053, 0000000000, 100, 001
0000000008, 181054, 0000000000, 100, 001
0000000009, 181055, 0000000000, 100, 001
0000000010, 181056, 0000000000, 100, 001
0000000011, 181057, 0000000000, 100, 001
0000000012, 181058, 0000000000, 100, 001
0000000013, 181059, 0000000000, 100, 001
0000000014, 181100, 0000000000, 100, 001
0000000015, 181101, 0000000000, 100, 001
0000000016, 181102, 0000000000, 100, 001
0000000017, 181103, 0000000000, 100, 001
0000000018, 181104, 0000000000, 100, 001
0000000019, 181105, 0000000000, 100, 001
0000000020, 181106, 0000000000, 100, 001
0000000021, 181107, 0000000000, 100, 001
0000000022, 181108, 0000000000, 100, 001
0000000023, 181109, 0000000000, 100, 001
0000000024, 181111, 0000000000, 100, 001
0000000025, 181112, 0000000000, 100, 001
0000000026, 181113, 0000000000, 100, 001
0000000027, 181114, 0000000000, 100, 001
0000000028, 181115, 0000000000, 100, 001
0000000029, 181116, 0006062760, 046, 001
0000000030, 181117, 0014878800, 044, 001
0000000031, 181118, 0014727100, 061, 002
0000000032, 181119, 0014435400, 073, 004
0000000033, 181120, 0014619800, 093, 004
0000000034, 181121, 0014458700, 098, 004
0000000035, 181122, 0014621100, 098, 004
0000000036, 181123, 0014460400, 100, 004
0000000037, 181124, 0014488600, 098, 004
0000000038, 181125, 0014164400, 100, 004
0000000039, 181126, 0014189100, 100, 004
0000000040, 181127, 0013855400, 098, 004
0000000041, 181128, 0013880300, 098, 004
0000000042, 181129, 0013559300, 097, 004
0000000043, 181130, 0013585600, 097, 004
0000000044, 181131, 0013277700, 097, 004
0000000045, 181132, 0013169800, 097, 004
0000000046, 181133, 0012758400, 097, 004
0000000047, 181134, 0012558400, 097, 004
0000000048, 181135, 0012537400, 097, 004
0000000049, 181136, 0012185100, 097, 004
0000000050, 181137, 0011800100, 097, 004
0000000051, 181138, 0011804700, 097, 004
0000000052, 181139, 0011503400, 100, 004
0000000053, 181140, 0011383100, 097, 004
0000000054, 181141, 0010921200, 097, 004
0000000055, 181142, 0010681200, 097, 004
0000000056, 181143, 0010452000, 097, 004
0000000057, 181144, 0010094700, 097, 004
0000000058, 181145, 0009853040, 099, 002
0000000059, 181146, 0009504460, 100, 002
0000000060, 181147, 0009247310, 099, 002
0000000061, 181148, 0009001710, 099, 002
0000000062, 181149, 0008647870, 099, 002
0000000063, 181150, 0008313000, 100, 002
0000000064, 181151, 0008053190, 099, 002
0000000065, 181152, 0007807950, 099, 002
0000000066, 181153, 0007370430, 099, 002
0000000067, 181154, 0007232370, 099, 002
0000000068, 181155, 0006787120, 099, 002
0000000069, 181156, 0006645190, 099, 002
0000000070, 181157, 0006203560, 098, 002
0000000071, 181158, 0006037500, 098, 002
0000000072, 181159, 0005676800, 098, 002
0000000073, 181200, 0005557140, 098, 002
0000000074, 181201, 0005328020, 098, 002
0000000075, 181202, 0005139560, 098, 002
0000000076, 181203, 0004723170, 099, 001
0000000077, 181204, 0004658670, 097, 001
0000000078, 181205, 0004477320, 099, 001
0000000079, 181206, 0004201440, 099, 001
0000000080, 181207, 0003905320, 100, 001
0000000081, 181208, 0003720120, 099, 001
0000000082, 181209, 0003583030, 100, 001
0000000083, 181210, 0003469160, 099, 001
0000000084, 181212, 0003247800, 100, 001
0000000085, 181213, 0003284540, 099, 001
0000000086, 181214, 0003284540, 100, 001
0000000087, 181215, 0003169090, 099, 001
0000000088, 181216, 0002952380, 099, 001
0000000089, 181217, 0002985680, 100, 001
0000000090, 181218, 0002985970, 100, 001
0000000091, 181219, 0002952200, 100, 001
0000000092, 181220, 0002985420, 099, 001
0000000093, 181221, 0002985700, 100, 001
0000000094, 181222, 0002982190, 100, 001
0000000095, 181223, 0002952260, 100, 001
0000000096, 181224, 0002982740, 100, 001
0000000097, 181225, 0002985660, 099, 001
0000000098, 181226, 0002951690, 100, 001
0000000099, 181227, 0003091470, 100, 001
0000000100, 181228, 0003280580, 100, 001
0000000101, 181229, 0003391930, 100, 001
0000000102, 181230, 0003540490, 100, 001
0000000103, 181231, 0003686720, 100, 001
0000000104, 181232, 0003875870, 099, 001
0000000105, 181233, 0003981250, 100, 001
0000000106, 181234, 0004128830, 099, 001
0000000107, 181235, 0004283520, 100, 001
0000000108, 181236, 0004583300, 100, 001
0000000109, 181237, 0004725320, 099, 001
0000000110, 181238, 0004979140, 100, 001
0000000111, 181239, 0005366460, 099, 001
0000000112, 181240, 0005573550, 098, 001
0000000113, 181241, 0005899420, 099, 001
0000000114, 181242, 0006071230, 093, 001
0000000115, 181243, 0006257300, 099, 001
0000000116, 181244, 0006399180, 088, 001
0000000117, 181245, 0006857820, 096, 004
0000000118, 181246, 0007064450, 092, 002
0000000119, 181247, 0007458140, 099, 002
0000000120, 181248, 0007565940, 099, 002
0000000121, 181249, 0008050690, 099, 002
0000000122, 181250, 0008206890, 099, 002
0000000123, 181251, 0008649240, 099, 002
0000000124, 181252, 0008841750, 099, 002
0000000125, 181253, 0009190570, 098, 002
0000000126, 181254, 0009331080, 099, 002
0000000127, 181255, 0009831800, 099, 002
0000000128, 181256, 0010055900, 099, 002
0000000129, 181257, 0010305900, 099, 002
0000000130, 181258, 0010607600, 099, 002
0000000131, 181259, 0011009600, 099, 002
0000000132, 181300, 0011067700, 096, 002
0000000133, 181301, 0011606100, 096, 002
0000000134, 181302, 0011795600, 094, 002
0000000135, 181303, 0012201600, 091, 002
0000000136, 181304, 0012165200, 090, 002
0000000137, 181305, 0012509400, 089, 004
0000000138, 181306, 0012695600, 093, 004
0000000139, 181307, 0012988600, 096, 004
0000000140, 181308, 0013223400, 097, 004
0000000141, 181309, 0013276400, 100, 004
0000000142, 181310, 0013514600, 097, 004
0000000143, 181311, 0013566000, 097, 004
0000000144, 181312, 0013804400, 097, 004
0000000145, 181313, 0013859000, 098, 004
0000000146, 181314, 0014107000, 098, 004
0000000147, 181315, 0014163700, 098, 004
0000000148, 181316, 0014412200, 098, 004
0000000149, 181317, 0014459500, 098, 004
0000000150, 181318, 0014551500, 098, 004
0000000151, 181319, 0014460200, 098, 004
0000000152, 181320, 0014621700, 098, 004
0000000153, 181321, 0014552000, 098, 004
0000000154, 181322, 0014460500, 098, 004
0000000155, 181323, 0014623500, 100, 004
0000000156, 181324, 0014461300, 098, 004
0000000157, 181325, 0014618300, 098, 004
0000000158, 181326, 0014459700, 098, 004
0000000159, 181327, 0014624000, 098, 004
