#idx , flow , proc , resrc
00000, 00084, 00100, 00100
00001, 00085, 00100, 00100
00002, 00084, 00100, 00100
00003, 00083, 00100, 00100
00004, 00081, 00100, 00100
00005, 00080, 00100, 00100
00006, 00080, 00100, 00100
00007, 00079, 00100, 00100
00008, 00078, 00100, 00100
00009, 00076, 00100, 00100
00010, 00075, 00100, 00100
00011, 00073, 00100, 00100
00012, 00073, 00100, 00100
00013, 00070, 00100, 00100
00014, 00069, 00100, 00100
00015, 00068, 00100, 00100
00016, 00065, 00100, 00100
00017, 00064, 00100, 00100
00018, 00062, 00100, 00100
00019, 00060, 00100, 00100
00020, 00058, 00100, 00100
00021, 00057, 00099, 00050
00022, 00055, 00099, 00050
00023, 00054, 00099, 00050
00024, 00051, 00099, 00050
00025, 00050, 00100, 00050
00026, 00048, 00100, 00050
00027, 00044, 00100, 00050
00028, 00043, 00100, 00050
00029, 00041, 00100, 00050
00030, 00040, 00100, 00050
00031, 00037, 00100, 00050
00032, 00036, 00100, 00050
00033, 00034, 00100, 00050
00034, 00033, 00100, 00050
00035, 00031, 00100, 00050
00036, 00031, 00100, 00050
00037, 00029, 00100, 00025
00038, 00028, 00099, 00025
00039, 00026, 00099, 00025
00040, 00026, 00100, 00025
00041, 00023, 00100, 00025
00042, 00022, 00100, 00025
00043, 00021, 00100, 00025
00044, 00019, 00100, 00025
00045, 00019, 00100, 00025
00046, 00019, 00100, 00025
00047, 00019, 00100, 00025
00048, 00018, 00100, 00025
00049, 00017, 00100, 00025
00050, 00017, 00100, 00025
00051, 00017, 00100, 00025
00052, 00017, 00100, 00025
00053, 00017, 00100, 00025
00054, 00017, 00100, 00025
00055, 00017, 00100, 00025
00056, 00017, 00100, 00025
00057, 00017, 00100, 00025
00058, 00017, 00100, 00025
00059, 00017, 00100, 00025
00060, 00018, 00100, 00025
00061, 00019, 00100, 00025
00062, 00020, 00100, 00025
00063, 00021, 00100, 00025
00064, 00022, 00100, 00025
00065, 00022, 00100, 00025
00066, 00023, 00100, 00025
00067, 00025, 00100, 00025
00068, 00026, 00100, 00025
00069, 00027, 00100, 00025
00070, 00027, 00100, 00025
00071, 00030, 00100, 00025
00072, 00031, 00100, 00025
00073, 00033, 00099, 00025
00074, 00035, 00097, 00025
00075, 00035, 00099, 00025
00076, 00036, 00099, 00025
00077, 00039, 00096, 00025
00078, 00039, 00093, 00025
00079, 00042, 00089, 00050
00080, 00043, 00092, 00050
00081, 00046, 00098, 00050
00082, 00046, 00100, 00050
00083, 00049, 00100, 00050
00084, 00050, 00100, 00050
00085, 00052, 00099, 00050
00086, 00054, 00099, 00050
00087, 00056, 00100, 00050
00088, 00059, 00100, 00050
00089, 00061, 00099, 00050
00090, 00063, 00099, 00050
00091, 00064, 00099, 00050
00092, 00067, 00098, 00050
00093, 00068, 00099, 00050
00094, 00069, 00099, 00050
00095, 00071, 00098, 00050
00096, 00072, 00099, 00050
00097, 00072, 00097, 00050
00098, 00075, 00096, 00050
00099, 00077, 00093, 00050
00100, 00077, 00093, 00050
00101, 00078, 00093, 00050
00102, 00079, 00089, 00100
00103, 00079, 00096, 00100
00104, 00081, 00100, 00100
00105, 00082, 00100, 00100
00106, 00083, 00100, 00100
00107, 00083, 00100, 00100
00108, 00085, 00100, 00100
00109, 00085, 00100, 00100
00110, 00084, 00100, 00100
00111, 00085, 00100, 00100
00112, 00085, 00100, 00100
00113, 00084, 00100, 00100
00114, 00085, 00100, 00100
00115, 00085, 00100, 00100
00116, 00085, 00100, 00100
00117, 00085, 00100, 00100
00118, 00084, 00100, 00100
00119, 00085, 00100, 00100
00120, 00085, 00100, 00100
00121, 00084, 00100, 00100
00122, 00083, 00100, 00100
00123, 00082, 00100, 00100
00124, 00081, 00100, 00100
00125, 00081, 00100, 00100
