#####    flow0   NT1  NT2  NT4
1        100     63   67   61
2        99      67   68   66
3        99      69   68   67
4        98      69   69   67
5        96      69   70   67
6        95      71   71   69
7        93      71   72   70
8        90      73   74   71
9        87      76   77   73
10       84      78   80   76
11       81      80   83   79
12       78      84   86   82
13       74      88   90   85
14       70      92   95   89
15       66      98   99   95
16       62      100  100  100
17       58      100  100  100
18       54      100  100  100
19       50      100  100  100
20       47      100  100  100
21       43      100  100  100
22       39      100  100  100
23       36      100  100  100
24       33      100  100  100
25       30      100  100  100
26       27      100  100  100
27       25      100  100  100
28       23      100  100  100
29       22      100  100  100
30       21      100  100  100
31       20      100  100  100
32       20      100  100  100
33       20      99   100  100
34       20      100  100  100
35       21      100  100  100
36       22      100  100  100
37       24      100  100  100
38       26      100  100  100
39       28      100  100  100
40       30      100  100  100
41       33      100  100  100
42       37      100  100  100
43       40      100  100  99
44       43      100  100  100
45       47      100  100  100
46       51      99   100  100
47       55      100  100  100
48       59      99   100  100
49       63      100  99   100
50       67      99   100  99
51       71      99   96   98
52       75      95   91   93
53       78      90   87   88
54       82      86   83   84
55       85      83   80   80
56       88      80   77   77
57       91      77   75   75
58       93      75   73   72
59       95      73   72   71
60       97      72   70   69
61       98      70   69   68
62       99      69   68   67
63       99      69   68   67
